reservation_id,listing_id,listing_name,total_revenue,billable_amount,rental_amount,bedrooms,owner_stay,booked_at,lead_time,checkin_date,stay_length,adr,guests,status,currency,is_managed_account_valid
128535167,3960388,Ocean Reef #518,278.00,513.76,278.00,3,No,2026-04-16T13:10:52+00:00,15,2026-05-01,2,139.00,0,accepted,USD,Yes
128535085,3960369,Holiday Pavilion #210,350.00,502.77,350.00,1,No,2026-04-16T02:53:43+00:00,1,2026-04-17,4,87.50,0,accepted,USD,Yes
128535042,3960358,Cypress Bay #101,882.00,969.21,882.00,2,No,2026-04-16T01:30:15+00:00,88,2026-07-13,6,147.00,0,accepted,USD,Yes
128534850,3960328,Barefoot #1222 Havens,262.00,445.31,262.00,2,No,2026-04-16T00:58:42+00:00,0,2026-04-16,3,87.33,0,accepted,USD,Yes
128535149,3960383,Monterey Bay #1205,754.00,857.13,754.00,1,No,2026-04-16T00:14:28+00:00,35,2026-05-21,4,188.50,0,accepted,USD,Yes
128535294,3960393,Robbers Roost Villas 909,522.00,749.51,522.00,2,No,2026-04-15T22:42:35+00:00,16,2026-05-01,7,74.57,0,accepted,USD,Yes
128534975,3960348,Caravelle Resort #125,323.00,450.38,323.00,1,No,2026-04-15T21:32:59+00:00,13,2026-04-28,5,64.60,0,accepted,USD,Yes
128535114,3960379,Madison Drive 4BR Beach House,4496.00,4496.00,4496.00,4,No,2026-04-15T21:26:37+00:00,97,2026-07-21,5,899.20,0,accepted,USD,Yes
128534900,3960334,Barefoot #1635 Havens,502.00,703.04,502.00,3,No,2026-04-15T21:10:40+00:00,26,2026-05-11,6,83.67,0,accepted,USD,Yes
128534842,4262135,Bahama Sands PH7,427.50,640.09,427.50,3,No,2026-04-15T19:56:24+00:00,16,2026-05-01,5,85.50,0,accepted,USD,Yes
128534979,3960348,Caravelle Resort #125,471.00,575.44,471.00,1,No,2026-04-15T18:08:10+00:00,28,2026-05-13,4,117.75,0,accepted,USD,Yes
128450290,3960328,Barefoot #1222 Havens,825.00,921.05,825.00,2,No,2026-04-15T02:28:07+00:00,37,2026-05-22,4,206.25,0,accepted,USD,Yes
128451215,3960391,Palms Resort #902,530.00,726.70,530.00,3,No,2026-04-15T01:50:13+00:00,15,2026-04-30,3,176.67,0,accepted,USD,Yes
128450029,4041055,A Place At The Beach II  3-B,207.00,398.84,207.00,2,No,2026-04-15T01:44:03+00:00,18,2026-05-03,3,69.00,0,accepted,USD,Yes
128451362,3960401,Shipwatch Pointe E109,1324.00,1724.07,1324.00,2,No,2026-04-15T00:20:21+00:00,115,2026-08-08,7,189.14,0,accepted,USD,Yes
128450664,3960339,Beach Cove #412,299.00,459.68,299.00,1,No,2026-04-15T00:12:42+00:00,1,2026-04-16,3,99.67,0,accepted,USD,Yes
128534891,3960334,Barefoot #1635 Havens,487.44,856.08,487.44,3,No,2026-04-15T00:00:00+00:00,70,2026-06-24,4,121.86,0,accepted,USD,Yes
128451043,3960369,Holiday Pavilion #210,782.00,867.81,782.00,1,No,2026-04-14T23:45:50+00:00,28,2026-05-12,6,130.33,0,accepted,USD,Yes
128451291,3960394,Sanabel Towers #303,1012.00,1079.06,1012.00,2,No,2026-04-14T23:18:19+00:00,38,2026-05-22,3,337.33,0,accepted,USD,Yes
128451196,3960390,Ocean villas #G2,919.00,1000.48,919.00,2,No,2026-04-14T15:37:49+00:00,124,2026-08-16,5,183.80,0,accepted,USD,Yes
128328807,3960383,Monterey Bay #1205,0.00,0.00,0.00,1,No,2026-04-14T02:32:30+00:00,55,2026-06-08,5,0.00,0,canceled,USD,Yes
128328530,3960339,Beach Cove #412,1150.00,1178.77,1150.00,1,No,2026-04-14T02:27:16+00:00,45,2026-05-29,7,164.29,0,accepted,USD,Yes
128328765,3960373,Luster Leaf 104,1038.00,1185.53,1038.00,3,No,2026-04-14T00:47:09+00:00,36,2026-05-20,4,259.50,0,accepted,USD,Yes
128328537,3960340,Beach Cove #507,974.00,1322.62,974.00,1,No,2026-04-13T23:45:35+00:00,98,2026-07-20,5,194.80,0,accepted,USD,Yes
128328928,3960401,Shipwatch Pointe E109,1404.00,1410.30,1404.00,2,No,2026-04-13T22:26:22+00:00,65,2026-06-17,6,234.00,0,accepted,USD,Yes
128328484,3960328,Barefoot #1222 Havens,1320.00,1339.32,1320.00,2,No,2026-04-13T21:20:06+00:00,27,2026-05-10,12,110.00,0,accepted,USD,Yes
128328748,3960369,Holiday Pavilion #210,636.00,955.89,636.00,1,No,2026-04-13T21:14:09+00:00,80,2026-07-02,3,212.00,0,accepted,USD,Yes
128328825,3960388,Ocean Reef #518,1697.00,1712.81,1697.00,3,No,2026-04-13T21:07:23+00:00,88,2026-07-10,4,424.25,0,accepted,USD,Yes
128328933,3960401,Shipwatch Pointe E109,853.00,944.71,853.00,2,No,2026-04-13T20:28:31+00:00,72,2026-06-24,4,213.25,0,accepted,USD,Yes
128328658,3960361,Emerald Pointe #3B,1072.00,1129.76,1072.00,2,No,2026-04-13T17:17:01+00:00,65,2026-06-17,5,214.40,0,accepted,USD,Yes
128328808,3960383,Monterey Bay #1205,1679.00,1679.00,1679.00,1,No,2026-04-13T16:36:16+00:00,76,2026-06-28,9,186.56,0,accepted,USD,Yes
128328432,4041055,A Place At The Beach II  3-B,1128.00,1177.08,1128.00,2,No,2026-04-13T13:03:01+00:00,62,2026-06-14,6,188.00,0,accepted,USD,Yes
128328809,3960383,Monterey Bay #1205,845.00,934.02,845.00,1,No,2026-04-13T02:40:35+00:00,0,2026-04-13,12,70.42,0,accepted,USD,Yes
128328504,3960334,Barefoot #1635 Havens,1102.00,1210.04,1102.00,3,No,2026-04-13T01:54:04+00:00,107,2026-07-29,5,220.40,0,accepted,USD,Yes
128328339,3960323,A Place at the Beach #123,353.00,522.21,353.00,2,No,2026-04-13T00:04:46+00:00,19,2026-05-02,4,88.25,0,accepted,USD,Yes
128328893,3960394,Sanabel Towers #303,2203.00,2203.00,2203.00,2,No,2026-04-12T23:56:48+00:00,62,2026-06-13,7,314.71,0,accepted,USD,Yes
128328510,3960336,Barefoot #731 Willow Bend,168.00,420.81,168.00,3,No,2026-04-12T22:54:18+00:00,19,2026-05-01,2,84.00,0,accepted,USD,Yes
128328384,3960325,A Place at the Beach #3G,671.00,1015.56,671.00,2,No,2026-04-12T21:36:47+00:00,102,2026-07-23,3,223.67,0,accepted,USD,Yes
128328857,3960391,Palms Resort #902,2425.00,2755.00,2425.00,3,No,2026-04-12T21:22:12+00:00,63,2026-06-14,6,404.17,0,accepted,USD,Yes
128328521,3960338,Beach Club II 4E,2469.00,2469.00,2469.00,4,No,2026-04-12T21:07:19+00:00,47,2026-05-29,5,493.80,0,accepted,USD,Yes
128227266,3960364,Grande Cayman Resort #1253,2191.00,2191.00,2191.00,3,No,2026-04-12T17:14:58+00:00,67,2026-06-18,4,547.75,0,accepted,USD,Yes
128227509,3960391,Palms Resort #902,2315.00,2315.00,2315.00,3,No,2026-04-12T17:11:05+00:00,105,2026-07-26,5,463.00,0,accepted,USD,Yes
128227249,3960361,Emerald Pointe #3B,826.00,921.89,826.00,2,No,2026-04-12T16:55:44+00:00,71,2026-06-22,4,206.50,0,accepted,USD,Yes
128227018,3960336,Barefoot #731 Willow Bend,2352.00,2352.00,2352.00,3,No,2026-04-12T16:01:25+00:00,74,2026-06-25,10,235.20,0,accepted,USD,Yes
128227097,3960340,Beach Cove #507,525.00,835.45,525.00,1,No,2026-04-12T02:44:32+00:00,54,2026-06-05,3,175.00,0,accepted,USD,Yes
128227525,3960394,Sanabel Towers #303,1321.00,1720.81,1321.00,2,No,2026-04-11T22:35:37+00:00,106,2026-07-26,5,264.20,0,accepted,USD,Yes
